created_date,source,context,annotation,__index_level_0__
2024-01-19,Y,일상의 소소한 순간들이 오늘따라 유난히 반가움이었다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'F'}]",0
2024-01-09,X,오랜만에 가족과 저녁을 먹으며 잔잔한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'M'}]",1
2024-02-28,Y,프로젝트가 잘 마무리되어 잔잔한 감동이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",2
2024-02-02,Z,원하던 책을 중고로 발견해 은은한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'M'}]",3
2024-02-29,Z,일상의 소소한 순간들이 오늘따라 유난히 반가움이었다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'F'}]",4
2024-03-26,Z,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",5
2024-02-29,Z,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'M'}]",6
2024-03-15,Y,일상의 소소한 순간들이 오늘따라 유난히 신뢰감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",7
2024-02-10,Y,프로젝트가 잘 마무리되어 짙은 신명남이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",8
2024-02-28,Z,오래 준비한 발표가 성공해서 신뢰감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",9
2024-02-28,X,오래 준비한 발표가 성공해서 감동을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",10
2024-01-28,X,오랜만에 가족과 저녁을 먹으며 맑은 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'F'}]",11
2024-03-01,Y,햇살이 따뜻해 산책하는 내내 포근한 마음이 신뢰감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",12
2024-01-09,X,일상의 소소한 순간들이 오늘따라 유난히 만족감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'M'}]",13
2024-02-18,X,일상의 소소한 순간들이 오늘따라 유난히 신뢰감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",14
2024-01-14,X,오랜만에 가족과 저녁을 먹으며 맑은 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",15
2024-01-10,Y,햇살이 따뜻해 산책하는 내내 벅찬 마음이 신뢰감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",16
2024-01-13,Y,프로젝트가 잘 마무리되어 잔잔한 신명남이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'M'}]",17
2024-03-28,X,오래 준비한 발표가 성공해서 자신감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",18
2024-01-28,Y,일상의 소소한 순간들이 오늘따라 유난히 감동이었다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",19
2024-02-24,Z,원하던 책을 중고로 발견해 잔잔한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",20
2024-02-29,X,오래 준비한 발표가 성공해서 반가움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'F'}]",21
2024-01-23,X,일상의 소소한 순간들이 오늘따라 유난히 안정감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'F'}]",22
2024-03-22,X,오래 준비한 발표가 성공해서 즐거움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",23
2024-03-30,Y,프로젝트가 잘 마무리되어 포근한 만족감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'M'}]",24
2024-01-21,Y,일상의 소소한 순간들이 오늘따라 유난히 편안함이었다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",25
2024-01-08,X,원하던 책을 중고로 발견해 포근한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'F'}]",26
2024-02-23,Y,오래 준비한 발표가 성공해서 감동을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",27
2024-01-12,Z,프로젝트가 잘 마무리되어 잔잔한 자랑스러움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",28
2024-02-12,X,일상의 소소한 순간들이 오늘따라 유난히 즐거움이었다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'M'}]",29
